token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
13240,SADBHAV-BE,SADBHAV,,-1.000000,1,,NSE,1.000000
13340,ARIHANTACA-SM,ARIHANTACA,,-1.000000,400,,NSE,5.000000
13436,LOKESHMACH-EQ,LOKESHMACH,,-1.000000,1,,NSE,1.000000
13441,BALPHARMA-EQ,BALPHARMA,,-1.000000,1,,NSE,1.000000
13457,KAMDHENU-EQ,KAMDHENU,,-1.000000,1,,NSE,1.000000
13536,VIDHIING-EQ,VIDHIING,,-1.000000,1,,NSE,5.000000
13540,HDFC1204DG-MF,HDFC1204DG,,-1.000000,1,,NSE,1.000000
13594,75HR29-SG,75HR29,,-1.000000,100,,NSE,1.000000
13592,HGM-EQ,HGM,,-1.000000,1,,NSE,1.000000
13643,ELECON-EQ,ELECON,,-1.000000,1,,NSE,5.000000
13656,ALICON-EQ,ALICON,,-1.000000,1,,NSE,5.000000
13702,VISHWARAJ-EQ,VISHWARAJ,,-1.000000,1,,NSE,1.000000
13717,759AP33-SG,759AP33,,-1.000000,100,,NSE,1.000000
1372,HINDCOMPOS-EQ,HINDCOMPOS,,-1.000000,1,,NSE,5.000000
13720,JHS-EQ,JHS,,-1.000000,1,,NSE,1.000000
13721,759TS40-SG,759TS40,,-1.000000,100,,NSE,1.000000
13761,BBL-EQ,BBL,,-1.000000,1,,NSE,10.000000
13773,757GJ32-SG,757GJ32,,-1.000000,100,,NSE,1.000000
13778,762UP35-SG,762UP35,,-1.000000,100,,NSE,1.000000
1379,669KA37-SG,669KA37,,-1.000000,100,,NSE,1.000000
1382,673PN40-SG,673PN40,,-1.000000,100,,NSE,1.000000
13794,BAIDFIN-EQ,BAIDFIN,,-1.000000,1,,NSE,1.000000
13908,762TN43-SG,762TN43,,-1.000000,100,,NSE,1.000000
13920,PLASTIBLEN-EQ,PLASTIBLEN,,-1.000000,1,,NSE,1.000000
13950,LIQUID1-EQ,LIQUID1,,-1.000000,1,,NSE,1.000000
13964,765GJ33-SG,765GJ33,,-1.000000,100,,NSE,1.000000
